item_id,name,sku,size,price
4055344975541,#CСандалии дет. спорт.,AF6132,36.5,2990
4055341268684,Кроссовки для бега муж.,AF6604,40.5,6990
4055341268707,Кроссовки для бега муж.,AF6604,41,6990
4055341268608,Кроссовки для бега муж.,AF6604,42,6990
4055341268622,Кроссовки для бега муж.,AF6604,42.5,6990
4055341268677,Кроссовки для бега муж.,AF6604,43,6990
4055341268653,Кроссовки для бега муж.,AF6604,44,6990
4055341272360,Кроссовки для бега муж.,AF6606,40.5,6990
4055341272353,Кроссовки для бега муж.,AF6606,41,6990
4055341272322,Кроссовки для бега муж.,AF6606,42,6990
4055341272292,Кроссовки для бега муж.,AF6606,42.5,6990
4055341351805,Кроссовки для бега муж.,AF6663,41,4990
4055341351782,Кроссовки для бега муж.,AF6663,42,4990
4055341351768,Кроссовки для бега муж.,AF6663,42.5,4990
4055341351713,Кроссовки для бега муж.,AF6663,43,4990
4055341351652,Кроссовки для бега муж.,AF6663,44,4990
4055341224543,Кроссовки для бега муж.,AF6686,40,3990
4055341224581,Кроссовки для бега муж.,AF6686,40.5,3990
4055341225960,Кроссовки для бега муж.,AF6686,41,3990
4055341225984,Кроссовки для бега муж.,AF6686,42,3990
4055341224598,Кроссовки для бега муж.,AF6686,42.5,3990
4055341224550,Кроссовки для бега муж.,AF6686,43,3990
4055341224536,Кроссовки для бега муж.,AF6686,44,3990
4055341225991,Кроссовки для бега муж.,AF6686,44.5,3990
4055341225977,Кроссовки для бега муж.,AF6686,45,3990
4055341222969,#CКроссовки для бега муж.,AF6688,40,3990
4055341222921,#CКроссовки для бега муж.,AF6688,40.5,3990
4055341222891,#CКроссовки для бега муж.,AF6688,41,3990
4055341224345,#CКроссовки для бега муж.,AF6688,42,3990
4055341224369,#CКроссовки для бега муж.,AF6688,42.5,3990
4055341222952,#CКроссовки для бега муж.,AF6688,43,3990
4055341222914,#CКроссовки для бега муж.,AF6688,44,3990
4055341222884,#CКроссовки для бега муж.,AF6688,44.5,3990
4055341222983,#CКроссовки для бега муж.,AF6688,46,3990
4055341228923,#CКроссовки для бега муж.,AF6690,45,3990
4055343536514,Мини-мяч дет. спорт.,AH4584,0,490
4055343891699,Мяч для регби муж.,AH4591,5,990
4055014986716,Игровая футболка муж.,AH5104,42,4690
4055014986693,Игровая футболка муж.,AH5104,46,4690
4055014986761,Игровая футболка муж.,AH5104,50,4690
4055014986723,Игровая футболка муж.,AH5104,54,4690
4055014986686,Игровая футболка муж.,AH5104,58,4690
4055014913392,Игровые шорты муж.,AH5106,42,2390
4055014913460,Игровые шорты муж.,AH5106,46,2390
4055014913446,Игровые шорты муж.,AH5106,50,2390
4055014913477,Игровые шорты муж.,AH5106,54,2390
4055014913415,Игровые шорты муж.,AH5106,58,2390
4055339861262,Три пары носков  взр.,AH6882,2730,790
4055339861286,Три пары носков  взр.,AH6882,3134,790
4055339865345,Три пары носков  взр.,AH6882,3538,790
4055339861279,Три пары носков  взр.,AH6882,3942,790
4055339861255,Три пары носков  взр.,AH6882,4346,790
4056562664071,Шорты  муж.,AI0322,46,2990
4056562659930,Шорты  муж.,AI0322,50,2990
4056562659916,Шорты  муж.,AI0322,58,2990
4055343898131,Леггинсы жен.,AI2963,40,4390
4055343897998,Леггинсы жен.,AI2963,4244,4390
4055343898032,Леггинсы жен.,AI2963,4648,4390
4055343898056,Леггинсы жен.,AI2963,4850,4390
4055343559971,Майка жен.,AI2981,40,2690
4055343560090,Майка жен.,AI2981,4244,2690
4055343560137,Майка жен.,AI2981,4648,2690
4055343559957,Майка жен.,AI2981,4850,2690
4056561204865,Футболка для бега жен.,AI3292,38,3390
4056561204988,Футболка для бега жен.,AI3292,40,3390
4056561204995,Футболка для бега жен.,AI3292,4244,3390
4056561204933,Футболка для бега жен.,AI3292,4648,3390
4056561204872,Футболка для бега жен.,AI3292,5254,3390
4055343823584,Спортивные бриджи жен.,AI3740,40,3390
4055343823508,Спортивные бриджи жен.,AI3740,4244,3390
4055343823546,Спортивные бриджи жен.,AI3740,4648,3390
4055343823485,Спортивные бриджи жен.,AI3740,4850,3390
4055343892702,#CБрюки жен.,AI3747,40,4390
4055343892757,#CБрюки жен.,AI3747,4244,4390
4055343892726,#CБрюки жен.,AI3747,4648,4390
4055343896830,#CБрюки жен.,AI3747,4850,4390
4056559162610,Сумка органайзер взр.,AI3819,NS,1990
4056562565569,#CХуди муж.,AI4344,42,4390
4056562565507,#CХуди муж.,AI4344,50,4390
4056562565576,#CХуди муж.,AI4344,54,4390
4056562565545,#CХуди муж.,AI4344,58,4390
4056562366531,#CБрюки муж.,AI4345,50,3990
4056562366524,#CБрюки муж.,AI4345,54,3990
4056562366616,#CБрюки муж.,AI4345,58,3990
4056562183602,Поло муж.,AI4346,42,2990
4056562183541,Поло муж.,AI4346,50,2990
4056562183596,Поло муж.,AI4346,54,2990
4056562183671,Поло муж.,AI4346,58,2990
4056562353531,#CДжемпер муж.,AI4347,46,4390
4056562353494,#CДжемпер муж.,AI4347,50,4390
4056562559780,#CФутболка жен.,AI4348,42,2390
4056562563091,#CФутболка жен.,AI4348,46,2390
4056562559803,#CФутболка жен.,AI4348,50,2390
4056562605654,Шорты  муж.,AI4450,46,3390
4056562605722,Шорты  муж.,AI4450,50,3390
4056562605760,Шорты  муж.,AI4450,54,3390
4056562605685,Шорты  муж.,AI4450,58,3390
4056562630113,Шорты  муж.,AI4452,46,3390
4056562629957,Шорты  муж.,AI4452,50,3390
4056562630007,Шорты  муж.,AI4452,54,3390
4056562630014,Шорты  муж.,AI4452,58,3390
4056562624457,Майка муж.,AI4454,42,2390
4056562624389,Майка муж.,AI4454,46,2390
4056562624327,Майка муж.,AI4454,50,2390
